iter	RMSE
0	1.430016791
1	1.363004717
2	1.295998434
3	1.235483371
4	1.180204579
5	1.128627127
6	1.080371662
7	1.034147907
8	0.9923395732
9	0.9564083936
10	0.9188227154
11	0.8873287221
12	0.8587046623
13	0.8311112882
14	0.8080333494
15	0.7856007007
16	0.763378606
17	0.7447238317
18	0.7257974831
19	0.7118046833
20	0.6976825866
21	0.683718381
22	0.6708423029
23	0.6591231092
24	0.6484023891
25	0.6374447594
26	0.6280572229
27	0.6202826282
28	0.6126359804
29	0.6051015998
30	0.5979734878
31	0.5925010386
32	0.5863929605
33	0.58118347
34	0.5756497553
35	0.5706249565
36	0.5656471598
37	0.5621033666
38	0.558698408
39	0.5552074807
40	0.5522102368
41	0.5489346446
42	0.545520934
43	0.5421821956
44	0.5391544542
45	0.5369819337
46	0.534534142
47	0.5330374266
48	0.5311881616
49	0.5293514428
50	0.527299693
51	0.5258265957
52	0.5238275407
53	0.5224904636
54	0.5210223209
55	0.519376968
56	0.5180173259
57	0.5166902052
58	0.5148602074
59	0.5134224869
60	0.5123750977
61	0.5109841191
62	0.5097300176
63	0.5084855649
64	0.5072660476
65	0.5060757057
66	0.5050799804
67	0.5040243711
68	0.5029473926
69	0.5020777022
70	0.5011037378
71	0.5001624608
72	0.4997400853
73	0.4985101726
74	0.4978071028
75	0.4972045406
76	0.4959207144
77	0.4951376846
78	0.4943525875
79	0.4937112923
80	0.49259459
81	0.4916244758
82	0.4907336403
83	0.4895992535
84	0.4887163665
85	0.4878201711
86	0.4868607426
87	0.4859354549
88	0.485272549
89	0.4847658585
90	0.4841904306
91	0.4829575172
92	0.4824741327
93	0.4817789049
94	0.4809790492
95	0.4803403611
96	0.479808652
97	0.4788845347
98	0.4777775974
99	0.4769694761
100	0.476344523
101	0.4757784522
102	0.4753183996
103	0.4745042297
104	0.4737721682
105	0.4730101437
106	0.4723757965
107	0.471746033
108	0.4709645552
109	0.4704095756
110	0.4696539233
111	0.4692095728
112	0.4687387619
113	0.4680680278
114	0.467191158
115	0.4668015875
116	0.4659954462
117	0.4654427274
118	0.4647923231
119	0.4642734083
120	0.4635653777
121	0.4628911253
122	0.4621196496
123	0.4614573214
124	0.460848364
125	0.4604956426
126	0.4600857049
127	0.4593610843
128	0.4588895165
129	0.4584172739
130	0.4580112676
131	0.4576645262
132	0.4571831788
133	0.4566892088
134	0.4561562906
135	0.4558581179
136	0.4554040882
137	0.4550053248
138	0.4542224256
139	0.4535990538
140	0.4530202801
141	0.4525744377
142	0.4520927443
143	0.4511378214
144	0.4508028815
145	0.4504493383
146	0.4499221822
